,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
361,Luke Raley,31,0,Maj-AL,Seattle,39,124,112,19,30,4,1,10,27,8,0,43,3,1,0,0,0,1,0.268,0.333,0.589,0.923,670042
362,Agust\xc3\xadn Ram\xc3\xadrez,24,11,Maj-NL,Miami,31,129,113,14,26,5,1,2,14,13,1,28,2,0,1,5,3,1,0.23,0.318,0.345,0.663,682663
363,Jos\xc3\xa9 Ram\xc3\xadrez,33,1,Maj-AL,Cleveland,45,197,164,26,34,8,0,6,16,32,4,28,1,0,0,1,18,2,0.207,0.34,0.366,0.706,608070
365,Heliot Ramos,26,0,Maj-NL,San Francisco,43,173,162,19,43,12,1,4,20,10,1,46,0,0,1,1,0,0,0.265,0.306,0.426,0.732,671218
366,J.T. Realmuto,35,0,Maj-NL,Philadelphia,27,100,91,8,21,4,0,1,8,5,0,17,3,0,1,1,0,0,0.231,0.29,0.308,0.598,592663
367,Rob Refsnyder,35,1,Maj-AL,Seattle,26,61,53,5,7,0,0,2,4,6,0,16,0,0,2,0,0,0,0.132,0.213,0.245,0.458,608701
368,Luis Rengifo,29,0,Maj-NL,Milwaukee,35,132,118,12,26,8,0,0,14,11,1,14,1,1,1,1,2,0,0.22,0.29,0.288,0.578,650859
369,Felix Reyes,25,0,Maj-NL,Philadelphia,12,38,38,2,6,1,0,1,2,0,0,9,0,0,0,1,0,0,0.158,0.158,0.263,0.421,694025
370,Bryan Reynolds,31,0,Maj-NL,Pittsburgh,44,190,153,28,38,5,2,4,26,34,2,45,2,0,1,3,2,0,0.248,0.389,0.386,0.775,668804
371,Ben Rice,27,1,Maj-AL,New York,39,160,132,31,40,9,0,13,29,25,2,41,1,0,2,4,2,0,0.303,0.413,0.667,1.079,700250
372,Austin Riley,29,0,Maj-NL,Atlanta,44,183,165,22,36,7,0,6,25,14,0,48,3,0,1,6,3,0,0.218,0.29,0.37,0.659,663586
373,Ryan Ritter,25,43,Maj-NL,Colorado,6,7,7,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.143,0.143,0.143,0.286,690022
374,Leo Rivas,28,1,Maj-AL,Seattle,36,115,95,8,13,2,1,0,7,14,0,35,3,2,1,1,2,0,0.137,0.265,0.179,0.444,660844
375,Sebasti\xc3\xa1n Rivero,27,1,Maj-AL,Los Angeles,14,27,25,0,4,0,0,0,0,1,0,4,0,1,0,1,0,0,0.16,0.192,0.16,0.352,665861
376,Luis Robert Jr.,28,18,Maj-NL,New York,24,98,85,10,19,3,0,2,8,13,0,17,0,0,0,2,2,2,0.224,0.327,0.329,0.656,673357
